Number,Price,Lot_Size,Waterfront,Age,Land_Value,New_Construct,Central_Air,Fuel_Type,Heat_Type,Sewer_Type,Living_Area,Pct_College,Bedrooms,Fireplaces,Bathrooms,Rooms
71,186000,0.55,0,0,4400,1,0,Gas,Hot_Air,Public,2000,52,4,,2.5,7
72,93000,0.1,0,14,2600,0,0,Gas,Hot_Air,Public,1480,52,3,1,1.5,6
73,257386,0.5,0,0,32000,1,1,Gas,,Public,2969,52,4,1,4,10
74,161000,0.31,0,10,10400,0,1,Gas,Hot_Air,Public,1542,52,3,0,2.5,5
75,92000,0.28,0,18,6300,0,0,Oil,,Private,1527,52,4,,2,7
76,211002,0.06,0,0,32000,1,0,Gas,Hot_Air,Public,2195,52,4,0,2.5,8
77,115000,0.06,0,14,1600,0,0,Gas,Hot_Air,Public,1480,52,3,1,1.5,6
78,113000,0.46,0,,9200,0,1,Oil,,Private,1452,52,3,0,2,7
79,216300,0.1,0,0,32000,1,0,Gas,,Public,2360,52,4,0,2.5,10
80,145000,2.12,0,32,19000,0,0,Oil,,Private,1440,52,3,1,1,8
81,114000,0.06,0,14,1600,0,0,Electric,Hot_Air,Public,1480,52,2,1,2.5,5
82,139050,0.21,0,125,7300,0,0,Gas,Hot_Air,Public,1879,52,3,0,2.5,6
83,104000,0.06,0,14,1600,0,0,Gas,Hot_Air,Public,1480,52,3,,1.5,6
84,169900,0.26,0,11,8700,0,0,Gas,Hot_Air,Public,1792,52,3,0,2.5,8
85,177900,0.29,0,,25000,0,0,Gas,Hot_Air,Private,1386,44,3,0,2.5,5
86,133000,1.29,0,14,10300,0,1,Electric,Hot_Air,Private,1676,44,2,1,2,3
87,185000,1,0,0,4000,0,0,Gas,Hot_Air,Private,768,22,4,,2,9
88,115000,0.88,0,16,10000,0,1,Electric,Electric,Private,1560,22,3,1,1.5,8
89,100000,0.52,0,91,5000,0,0,Oil,Hot_Air,Private,1000,22,3,0,1,6
90,117000,0.07,0,15,18900,0,0,Electric,Electric,Private,1676,51,4,1,1.5,9
91,150000,0.32,0,11,19400,0,0,Electric,Electric,,1656,51,3,0,1.5,6
92,187500,0.92,0,11,20600,0,0,Electric,Electric,Private,2300,51,3,,1.5,7
93,107000,0.46,0,25,18700,0,0,Gas,Hot_Air,Private,1712,51,3,1,1,6
94,126900,0.46,0,26,18700,0,0,Gas,Hot_Air,Private,1350,51,3,0,1.5,5
95,147000,0.11,0,15,18900,0,0,Gas,Hot_Air,Private,1676,51,3,1,2.5,6
96,62000,0.4,0,103,10500,0,0,Gas,,Private,1317,51,3,,1.5,7
97,101000,0.87,0,30,8700,0,0,Gas,Hot_Air,Private,1056,51,3,,2,8
98,143500,0.59,0,13,19900,0,0,Gas,Hot_Air,Private,912,51,3,,1,7
99,113400,0.93,0,18,4500,0,0,Electric,Electric,Private,1232,44,2,0,2,3
100,76320,0.15,0,68,2000,0,0,Gas,Hot_Air,Public,1380,44,3,1,1,5
101,110000,0.59,0,10,3100,0,1,Gas,Hot_Air,Private,936,44,3,0,1,6
102,88000,0.33,0,49,3400,0,0,Gas,Hot_Air,Private,720,44,3,0,1,4
103,108000,0.32,0,30,6500,0,0,Oil,Hot_Water,Private,1628,44,2,1,1.5,4
104,114900,0.46,0,41,5000,0,0,Gas,Hot_Air,Private,1144,44,3,0,1.5,6
105,146000,0.48,0,2,3000,0,0,Gas,Hot_Air,Private,1827,44,3,0,2.5,9
106,225000,2.37,0,8,3300,0,0,Oil,Hot_Water,Private,1784,44,3,,2,6
107,138000,0.83,0,,,0,1,Gas,Hot_Air,Private,1851,44,3,1,2.5,8
108,218070,1,0,0,3500,1,0,Gas,Hot_Water,Private,2194,44,4,,2.5,8
109,25000,0.21,0,75,900,0,0,Oil,Hot_Air,Private,920,44,2,0,1,6
110,112000,0.27,0,36,3800,0,0,Gas,,Public,1280,44,3,,1,5
111,112500,0.72,0,43,4600,0,0,Electric,Electric,Private,1232,44,3,1,1,5
112,97000,0.36,0,45,3600,0,0,Gas,Hot_Water,Private,1406,44,3,0,1.5,6
113,121000,0.52,0,6,2500,0,0,Gas,Hot_Air,Private,1164,44,3,0,2,5
114,65720,0.19,0,123,,0,0,Gas,Hot_Water,Public,1198,44,3,0,1,5
115,225000,0.38,0,10,6600,0,1,Gas,Hot_Air,Private,2206,44,4,,2.5,8
116,192000,0.82,0,0,5000,1,1,Gas,Hot_Air,Private,1880,44,3,,2.5,9
117,158500,0.69,0,6,3400,0,0,Oil,Hot_Air,Private,1368,44,3,0,1.5,8
118,247000,0.51,0,16,6000,0,1,Gas,Hot_Air,Private,1901,44,3,1,2.5,5
119,193777,0.72,0,11,3200,0,0,Gas,Hot_Air,Private,1547,44,3,,2,8
120,136500,0.62,0,12,5400,0,0,Gas,Hot_Air,Private,896,44,3,0,2,5
121,75000,1,0,45,8000,0,0,Gas,Hot_Air,Private,1008,44,3,,1,7
122,45000,0.52,0,75,3900,0,0,Gas,Hot_Air,Private,912,44,2,0,1,4
123,243000,0.82,0,,3700,0,0,Gas,Hot_Air,Private,2443,44,3,,2.5,6
124,90000,0.29,0,83,3900,0,0,Gas,Hot_Air,Public,900,44,4,,1,7
125,158000,0.52,0,0,4400,1,1,Gas,Hot_Air,Private,2098,44,3,0,2,7
126,174000,0.64,0,9,3000,0,0,Gas,Hot_Water,Private,2115,44,4,1,2.5,7
127,150000,0.52,0,12,4500,0,0,Gas,,Private,1344,44,2,1,2,7
128,159650,1,0,3,5200,0,0,Gas,Hot_Air,Private,1106,44,3,0,1,8
129,139062,0.69,0,33,6500,0,0,Gas,Hot_Water,Private,1440,44,3,2,2,6
130,84950,0.13,0,0,15000,1,0,Gas,Hot_Air,Public,840,51,2,,1,3
131,102000,0.22,0,10,7300,0,0,Gas,Hot_Air,Public,1170,51,2,0,1,6
132,175000,0.46,0,15,23400,0,0,Oil,Hot_Air,Private,1664,51,4,,1,5
133,78500,1,0,153,27300,0,0,Oil,Hot_Air,Private,3024,51,4,0,1,12
134,232478,1,0,0,15900,0,0,Gas,Hot_Air,,2598,51,4,1,2.5,9
135,93805,0.13,0,0,15000,1,0,Gas,Hot_Air,Public,840,51,2,0,1.5,7
136,119900,1.03,0,63,41500,0,0,Oil,Hot_Water,Private,1701,41,5,0,1,10
137,146000,1.17,0,33,41800,0,0,Oil,Hot_Air,Private,1456,41,3,1,1.5,6
138,125000,0.34,0,44,19000,0,0,Oil,Hot_Air,Private,1224,71,3,0,1,4
139,135000,0.38,0,48,21300,0,0,Gas,Hot_Air,Private,1411,71,3,1,1,5
140,157500,1.96,0,29,39700,0,0,Oil,,Private,1608,71,3,1,1.5,5
141,135000,3,0,178,44500,0,0,Oil,Hot_Water,Private,3020,41,4,0,2.5,12
142,142900,0.33,0,32,22500,0,0,Gas,Hot_Water,Public,1898,64,3,,1.5,7
143,259900,0.46,0,1,36600,1,1,Gas,Hot_Air,Public,2544,64,4,1,2.5,9
144,85000,0.29,0,16,22100,0,0,Electric,Electric,Public,1038,64,2,0,1,7
145,180377,0.35,0,1,37000,1,0,Gas,Hot_Air,Public,1820,64,3,1,2.5,6
146,163500,0.28,0,21,28400,0,1,Electric,Electric,Public,2202,64,3,1,2,10
147,106500,0.52,0,53,20300,0,0,Oil,Hot_Air,Private,2387,64,3,0,1,6
148,115000,0.11,0,16,20700,0,1,Electric,Electric,Public,1368,64,2,1,1.5,3
149,115000,0.14,0,16,21000,0,1,Electric,Electric,Public,1480,64,2,,2,5
150,135000,0.14,0,15,19600,0,1,Electric,Electric,Public,1348,64,2,,1.5,5
151,198900,0.47,0,7,25500,0,1,Gas,Hot_Air,Public,1889,64,4,,2.5,8
152,139000,0.14,0,16,19600,0,1,Electric,Electric,Public,1343,64,2,,1.5,6
153,206000,0.51,0,15,39600,0,1,Gas,,Public,2011,64,3,1,2.5,7
154,120000,0.21,0,15,28800,0,1,Gas,Hot_Air,Public,1180,64,2,1,1.5,3
155,205980,0.14,0,1,45200,1,1,Gas,Hot_Air,Public,1983,64,3,,2.5,5
156,275000,0.55,0,14,72000,0,1,Gas,Hot_Air,Public,2253,64,3,,2.5,7
157,139000,0.07,0,12,24500,0,1,Gas,Hot_Air,Public,1604,64,2,0,1.5,4
158,89900,0.49,0,83,11900,0,0,Gas,Hot_Air,Private,1196,45,3,0,1,6
159,139900,0.07,0,13,24500,0,1,Gas,Hot_Air,Public,1602,64,2,0,2.5,7
160,172750,0.36,0,1,37100,1,0,Gas,Hot_Air,Public,1747,64,3,0,2.5,5
161,136000,0.5,0,37,19800,0,0,Oil,Hot_Water,Private,1092,64,3,0,1,5
162,270000,0.48,0,10,37800,0,1,Gas,,Public,2410,64,4,1,2.5,11
163,174000,0.29,0,14,31100,0,1,Gas,Hot_Air,Public,1933,64,3,1,2.5,6
164,379000,0.68,0,9,57200,0,1,Gas,Hot_Air,Public,3080,64,4,,2.5,12
165,382500,4.08,0,13,75500,0,1,Oil,Hot_Air,Private,4534,64,6,,2.5,12
166,144900,0.1,0,14,26000,0,1,Gas,Hot_Air,Public,1677,64,3,1,2.5,5
167,349900,0.62,0,7,57800,0,1,Gas,Hot_Air,Public,2900,64,4,1,2.5,11
168,133000,0.07,0,16,20300,0,1,Electric,Electric,Public,1392,64,2,1,1.5,5
169,115000,0.16,0,15,22400,0,0,Gas,Hot_Air,Public,1058,64,2,1,1.5,7
170,211950,0.36,0,1,29200,1,1,Gas,Hot_Air,Public,2342,64,4,,2.5,8
171,227812,0.01,0,0,37200,1,1,Gas,Hot_Air,Public,2206,64,4,1,2.5,10
172,164400,0.34,0,1,36200,1,1,Gas,Hot_Air,Public,1516,64,3,1,2,5
173,340000,0.75,0,12,82500,0,1,Gas,Hot_Air,Public,2836,64,4,1,2.5,10
174,139900,0.29,0,15,35200,0,1,Gas,Hot_Air,Public,1256,64,2,0,1.5,7
175,279900,0.47,0,6,20000,0,1,Gas,Hot_Air,Public,2340,64,4,1,3.5,10
176,225000,0.32,0,0,53900,1,1,Gas,Hot_Air,Public,2129,64,4,1,2.5,9
177,144500,0.12,0,15,16800,0,1,Gas,,Public,1343,64,2,1,2.5,4
178,362710,1,0,0,24300,1,1,Gas,Hot_Air,Private,2963,64,4,1,2.5,10
179,247000,0.46,0,13,36600,0,1,Gas,Hot_Air,Public,2114,64,4,,3.5,8
180,120000,0.18,0,16,21400,0,1,Electric,Electric,Public,1144,64,2,1,1,7
181,136000,0.55,0,33,14900,0,0,Oil,Hot_Air,Private,988,64,3,1,1,7
182,228500,0.46,0,,,0,0,Gas,Hot_Air,Public,1475,64,3,,2,4
183,162800,0.15,0,10,28500,0,0,Gas,Hot_Air,Public,1247,64,3,0,1.5,7
184,230000,0.93,0,48,23500,0,0,Gas,Hot_Water,Private,1912,64,5,,2,10
185,115800,0.46,0,23,19700,0,0,Oil,Hot_Air,Private,1440,64,3,0,1.5,5
186,175000,0.26,0,16,30100,0,1,Gas,Hot_Air,Public,1596,64,3,1,2,6
187,263008,0.63,0,0,24400,1,1,Gas,Hot_Air,Public,2665,64,4,,2.5,11
188,146000,0.5,0,35,28000,0,0,Gas,Hot_Water,Private,1984,64,3,0,1.5,8
189,204900,0.03,0,10,35800,0,1,Gas,Hot_Air,Public,1616,64,3,0,2,6
190,265000,0.17,0,9,40500,0,0,Gas,,Public,1917,64,3,1,2.5,5
191,167500,0.64,0,37,16400,0,0,Oil,Hot_Water,Private,2592,64,3,1,1.5,9
192,205000,0.47,0,6,25500,0,0,Gas,Hot_Air,Public,1845,64,3,1,2.5,9
193,170000,0.92,0,53,29000,0,1,Oil,Hot_Air,Private,1360,57,4,0,1,9
194,176000,0.41,0,35,26200,0,1,Gas,Hot_Air,Public,1664,64,3,1,1.5,6
195,132000,0.16,0,15,22400,0,1,Gas,,Public,1098,64,2,1,1.5,3
196,115500,0.01,0,17,,0,0,Electric,Electric,Public,1214,64,2,0,1.5,4
197,150000,0.29,0,93,9200,0,0,Electric,Electric,Private,1046,57,3,0,1,6
198,120000,0.36,0,103,32200,0,0,Oil,Hot_Air,Private,1144,64,3,0,1,8
199,125000,0.28,0,16,22000,0,1,Gas,Hot_Air,Public,1140,64,2,1,2,6
200,150000,0.15,0,14,21000,0,0,Gas,Hot_Air,Public,1232,64,2,1,1.5,5
201,362360,0.59,0,0,153800,1,1,Gas,Hot_Air,Public,3020,64,4,1,2.5,9
202,133500,0.36,0,19,27000,0,0,Gas,Hot_Air,Public,1508,52,3,,2,6
203,91000,0.16,0,19,15700,0,0,Electric,Electric,Public,912,52,2,1,1.5,5
204,104000,0.34,0,18,27000,0,0,Electric,Electric,Public,1508,52,3,,1.5,4
205,148000,0.33,0,17,27000,0,0,Gas,Hot_Air,Public,1561,52,3,1,1.5,6
206,182000,0.56,0,30,26400,0,0,Gas,Hot_Water,Public,2625,64,4,1,2.5,8
207,152500,0.48,0,30,19600,0,0,Gas,Hot_Water,Public,936,52,3,1,1,7
208,97000,0.16,0,19,15700,0,0,Electric,Electric,Public,912,52,2,0,1.5,3
209,113000,0.17,0,16,15100,0,0,Electric,Electric,Public,1492,52,3,0,2.5,8
210,172000,0.46,0,30,26300,0,0,Gas,Hot_Water,Public,1599,64,4,,2.5,5
211,179900,0.81,0,,25000,0,0,Electric,Electric,Private,2304,52,5,1,2.5,9
212,84000,0.15,0,,15700,0,0,Electric,Electric,Public,912,52,2,0,1.5,7
213,117900,0.15,0,17,15100,0,1,Gas,Hot_Air,Public,1385,52,2,1,1.5,7
214,177000,0.32,0,17,27000,0,0,Electric,Electric,Public,1561,52,4,0,1.5,8
215,107500,0.16,0,20,15700,0,0,Gas,Hot_Water,Public,884,52,2,0,2,3
216,92500,0.15,0,18,15700,0,0,Electric,Electric,Public,912,52,2,,2,4
217,102900,0.15,0,17,15700,0,0,Gas,Electric,Public,912,52,2,0,1.5,3
218,134800,0.48,0,73,20500,0,0,Oil,Hot_Air,Private,1384,52,3,0,2,5
219,150000,0.77,0,7,30000,0,0,Gas,Hot_Air,Public,1334,52,3,0,1.5,4
220,165000,0.42,0,10,26200,0,1,Gas,Hot_Air,Private,1433,64,3,,2,5
221,120000,0.17,0,16,15100,0,0,Electric,Electric,Public,1492,52,3,1,2.5,6
222,177500,0.32,0,16,27000,0,1,Gas,Hot_Air,Public,1561,52,4,1,1.5,9
223,300000,0.09,1,11,32000,0,0,Electric,Electric,Public,936,52,1,0,1,3
224,123500,0.16,0,16,15100,0,0,Electric,Electric,Public,1492,52,3,1,2.5,8
225,141000,0.16,0,18,15100,0,0,Electric,Electric,Public,1853,52,3,0,2.5,7
226,105400,0.15,0,15,15100,0,0,Electric,Electric,Public,1240,52,2,0,1.5,7
227,100600,0.17,0,19,15800,0,0,Electric,Electric,Public,912,52,2,0,1.5,6
228,108900,0.17,0,19,15800,0,0,Gas,Hot_Air,Public,912,52,2,0,1.5,3
229,105500,0.16,0,19,15700,0,0,Gas,Hot_Water,Public,912,52,2,0,1.5,6
230,109900,0.16,0,19,15100,0,0,Gas,Hot_Water,Public,1184,52,3,0,1.5,8
231,172700,0.34,0,18,27000,0,0,Electric,Electric,Public,1638,52,3,1,2,6
232,166500,0.31,0,16,,0,0,Electric,,Public,1508,52,3,1,2,6
233,105000,0.4,0,50,18000,0,0,Electric,Electric,Public,672,52,2,0,1,5
234,490000,0.34,1,18,79700,0,0,Oil,Hot_Air,Public,1346,52,3,1,2,6
235,120000,0.16,0,18,15100,0,0,Electric,Electric,Public,1184,52,3,0,2,5
236,107500,0.15,0,16,15700,0,0,Gas,Hot_Air,Public,912,52,2,,1.5,4
237,116600,0.15,0,18,15700,0,0,Electric,Electric,Public,912,52,2,,1.5,5
238,65000,0.16,0,19,15700,0,0,Gas,Hot_Air,Public,988,52,2,0,2,4
239,118000,0.16,0,19,15100,0,0,Gas,Hot_Air,Public,1184,52,3,0,2,6
240,115900,0.15,0,16,15100,0,0,Electric,Electric,Public,1385,52,2,0,1.5,4
241,100000,0.15,0,18,15700,0,0,Gas,Hot_Water,Public,912,52,2,0,1.5,3
242,171000,0.37,0,18,27000,0,1,Gas,Hot_Air,Public,1548,52,3,1,2,5
243,188000,0.31,0,17,27000,0,0,Electric,Electric,Public,1561,52,4,0,1.5,9
244,140000,1,0,24,21000,0,1,Gas,Hot_Air,Private,1008,52,2,,1,3
245,124500,0.15,0,17,15200,0,0,Electric,Electric,Public,1385,52,2,0,1.5,4
246,107200,0.16,0,19,15700,0,0,Gas,Hot_Air,Public,908,52,2,,1,6
247,107500,0.24,0,138,1400,0,0,Oil,Hot_Water,Public,2246,39,4,0,1.5,9
248,180000,2.06,0,16,5900,0,0,Gas,,Private,1820,39,3,1,2.5,5
249,214325,0.42,0,0,13000,1,1,Gas,Hot_Air,Public,2554,64,4,1,2.5,9
250,128850,0.92,0,16,5500,0,0,Electric,Electric,Private,824,45,3,,1.5,5
251,208700,0.4,0,0,15000,0,0,Gas,Hot_Air,Public,2458,64,4,1,2.5,9
252,139900,0.36,0,,10500,0,0,Electric,Electric,Public,1324,64,3,0,1,4
253,350000,5.84,0,12,20000,0,1,Gas,Hot_Air,Public,2916,64,3,1,2.5,9
254,108000,0.16,0,19,15100,0,0,Electric,Electric,Public,1032,52,2,0,1.5,4
255,115500,0.15,0,16,15700,0,0,Electric,Electric,Public,912,52,2,1,1.5,4
256,135000,0.98,0,35,19600,0,0,Electric,Electric,Private,1320,52,2,0,1,3
257,135000,0.33,0,17,27000,0,0,Gas,Hot_Air,Public,1508,52,3,1,1.5,8
258,107400,0.16,0,16,15700,0,0,Electric,Electric,Public,912,52,2,,1.5,7
259,233000,0.09,0,12,31200,0,1,Gas,Hot_Air,Private,2040,52,4,1,2.5,7
260,105000,0.16,0,17,,0,0,Electric,Electric,Public,912,52,2,1,1.5,5
261,335000,3,0,10,53600,0,1,Oil,Hot_Air,Public,1776,52,2,0,2,6
262,139000,0.58,0,25,25000,0,0,Electric,Electric,Public,1304,64,3,0,2,8
263,209500,0.42,0,,26200,0,1,Gas,Hot_Air,Private,1836,64,4,1,2.5,8
264,101000,0.17,0,18,15800,0,0,Electric,Electric,Public,912,52,2,,2,3
265,77500,0.16,0,19,15700,0,0,Electric,Electric,Public,912,52,2,0,1.5,6
266,150500,0.31,0,16,27000,0,0,Electric,Electric,Public,1527,52,2,1,2,7
267,167000,0.99,0,17,5700,0,0,Electric,Electric,Private,1454,39,3,0,1.5,7
268,114000,0.26,0,26,4600,0,0,Oil,Hot_Water,Public,1700,39,3,1,1.5,4
269,160000,0.45,0,27,,0,0,Electric,Electric,Public,1680,45,4,0,1,9
270,85000,0.49,0,0,13000,0,1,Gas,Hot_Air,Public,2401,64,4,,2.5,10
271,143000,0.35,0,21,11000,0,0,Electric,Electric,Public,1176,64,3,,1,7
272,126000,0.4,0,24,9800,0,0,Electric,Electric,Public,1344,64,3,1,1.5,7
273,140000,0.48,0,23,10400,0,0,Electric,Electric,Public,1344,64,3,0,1.5,8
274,140000,0.35,0,9,,0,0,Gas,Hot_Water,Private,1714,64,3,0,2.5,8
275,205000,0.25,0,20,29000,0,0,Gas,Hot_Air,Public,1992,64,4,1,3,9
276,79900,0.12,0,,18200,0,1,Gas,Hot_Air,Public,924,64,2,,1,7
277,139000,0.09,0,24,17600,0,1,Gas,Hot_Air,Public,1290,64,2,1,1.5,3
278,190000,0.46,0,36,27400,0,0,Gas,Hot_Water,Public,2521,64,4,1,2.5,10
279,151500,0.71,0,58,22700,0,0,Oil,Hot_Water,Public,1377,82,3,,1.5,7
280,97500,0.06,0,19,16400,0,1,Gas,Hot_Air,Public,1237,64,2,1,1.5,6
281,194500,0.61,0,41,32300,0,1,Gas,Hot_Water,Public,2310,64,4,1,2.5,7
282,195160,0.32,0,0,35000,0,0,Gas,Hot_Air,Public,1863,64,3,,2.5,9
283,152500,0.37,0,26,37500,0,1,Gas,Hot_Air,Public,1693,64,3,1,1.5,8
284,159500,0.29,0,26,31400,0,1,Gas,,Public,1684,64,3,1,2.5,4
285,185000,0.95,0,16,40900,0,1,Electric,Electric,Public,1585,64,3,1,1.5,4
286,240000,0.67,0,8,72400,0,1,Gas,Hot_Air,Public,2290,64,4,,3,9
287,187900,0.4,0,32,30000,0,1,Gas,Hot_Air,Public,2464,64,5,1,2.5,9
288,262000,0.29,0,5,29000,0,1,Gas,Hot_Air,Public,2549,64,4,1,2.5,12
289,212500,0.35,0,6,,0,1,Gas,Hot_Air,Public,2316,64,4,1,2.5,7
290,220000,0.37,0,18,43000,0,1,Gas,Hot_Air,Private,2600,64,4,1,2.5,8
291,245000,0.53,0,15,65800,0,1,Gas,Hot_Air,Public,2677,64,4,1,2.5,10
292,120000,0.06,0,19,16400,0,1,Electric,Electric,Public,1479,64,3,,1.5,4
293,102500,0.15,0,16,18500,0,1,Electric,Electric,Public,1138,64,2,0,1,7
294,136000,0.27,0,,18900,0,0,Gas,Hot_Water,Public,1576,64,3,0,2.5,4
295,212500,0.43,0,10,52200,0,1,Gas,Hot_Air,Public,2084,82,4,1,2.5,9
296,205900,0.06,0,26,35900,0,1,Gas,Hot_Air,Public,1726,64,3,1,2,8
297,259900,1,0,2,49900,0,1,Gas,Hot_Air,Private,1851,71,2,2,2,4
